state,district,year,residualsodiumcarbonate
Andhra Pradesh,Krishna,2016,
Andhra Pradesh,Krishna,2017,-3.9618182
Andhra Pradesh,Krishna,2018,-5.5772882
Andhra Pradesh,Kurnool,2000,
Andhra Pradesh,Kurnool,2001,
Andhra Pradesh,Kurnool,2002,0
Andhra Pradesh,Kurnool,2003,0
Andhra Pradesh,Kurnool,2004,-2.1400001
Andhra Pradesh,Kurnool,2005,6.3899999
Andhra Pradesh,Kurnool,2006,7.9066663
Andhra Pradesh,Kurnool,2007,6.7342854
Andhra Pradesh,Kurnool,2008,5.2249999
Andhra Pradesh,Kurnool,2009,7.5685716
Andhra Pradesh,Kurnool,2010,4.6824999
Andhra Pradesh,Kurnool,2011,7.4885716
Andhra Pradesh,Kurnool,2012,0
Andhra Pradesh,Kurnool,2013,4.5511112
Andhra Pradesh,Kurnool,2014,-6.8872728
Andhra Pradesh,Kurnool,2015,-11.776875
Andhra Pradesh,Kurnool,2016,
Andhra Pradesh,Kurnool,2017,-6.0593333
Andhra Pradesh,Kurnool,2018,-12.152632
Andhra Pradesh,Prakasam,2000,12.157647
Andhra Pradesh,Prakasam,2001,
Andhra Pradesh,Prakasam,2002,
Andhra Pradesh,Prakasam,2003,
Andhra Pradesh,Prakasam,2004,2.8608
Andhra Pradesh,Prakasam,2005,8.3246155
Andhra Pradesh,Prakasam,2006,7.4039998
Andhra Pradesh,Prakasam,2007,8.59375
Andhra Pradesh,Prakasam,2008,6.105
Andhra Pradesh,Prakasam,2009,7
Andhra Pradesh,Prakasam,2010,5.6040001
Andhra Pradesh,Prakasam,2011,9.1023531
Andhra Pradesh,Prakasam,2012,0
Andhra Pradesh,Prakasam,2013,5.4859257
Andhra Pradesh,Prakasam,2014,-1.4613794
Andhra Pradesh,Prakasam,2015,-7.3046155
Andhra Pradesh,Prakasam,2016,
Andhra Pradesh,Prakasam,2017,-1.8666667
Andhra Pradesh,Prakasam,2018,-7.0976
Andhra Pradesh,Sri Potti Sriramulu Nellore,2000,5.8688002
Andhra Pradesh,Sri Potti Sriramulu Nellore,2001,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2002,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2003,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2004,-5.7200003
Andhra Pradesh,Sri Potti Sriramulu Nellore,2005,3.0733335
Andhra Pradesh,Sri Potti Sriramulu Nellore,2006,4.1290908
Andhra Pradesh,Sri Potti Sriramulu Nellore,2007,6.4371428
Andhra Pradesh,Sri Potti Sriramulu Nellore,2008,5.0588236
Andhra Pradesh,Sri Potti Sriramulu Nellore,2009,3.4815385
Andhra Pradesh,Sri Potti Sriramulu Nellore,2010,7.145
Andhra Pradesh,Sri Potti Sriramulu Nellore,2011,6.3054547
Andhra Pradesh,Sri Potti Sriramulu Nellore,2012,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2013,4.5359998
Andhra Pradesh,Sri Potti Sriramulu Nellore,2014,1.013
Andhra Pradesh,Sri Potti Sriramulu Nellore,2015,-13.42
Andhra Pradesh,Sri Potti Sriramulu Nellore,2016,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2017,-0.51894742
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,-4.3424001
Andhra Pradesh,Srikakulam,2000,4.9570003
Andhra Pradesh,Srikakulam,2001,
Andhra Pradesh,Srikakulam,2002,
Andhra Pradesh,Srikakulam,2003,
Andhra Pradesh,Srikakulam,2004,-7.4104347
Andhra Pradesh,Srikakulam,2005,3.05
Andhra Pradesh,Srikakulam,2006,1.755
Andhra Pradesh,Srikakulam,2007,3.3425
Andhra Pradesh,Srikakulam,2008,5.4450002
Andhra Pradesh,Srikakulam,2009,2.7633333
Andhra Pradesh,Srikakulam,2010,2.0680001
Andhra Pradesh,Srikakulam,2011,3.6175001
Andhra Pradesh,Srikakulam,2012,0
Andhra Pradesh,Srikakulam,2013,2.7542858
Andhra Pradesh,Srikakulam,2014,-5.6139998
Andhra Pradesh,Srikakulam,2015,-4.3936586
Andhra Pradesh,Srikakulam,2016,
Andhra Pradesh,Srikakulam,2017,-4.2614284
Andhra Pradesh,Srikakulam,2018,-5.3052382
Andhra Pradesh,Visakhapatanam,2000,2.1836364
Andhra Pradesh,Visakhapatanam,2001,
Andhra Pradesh,Visakhapatanam,2002,
Andhra Pradesh,Visakhapatanam,2003,2.9342856
Andhra Pradesh,Visakhapatanam,2004,-5.0694447
Andhra Pradesh,Visakhapatanam,2005,2.5999999
Andhra Pradesh,Visakhapatanam,2006,4.2276921
Andhra Pradesh,Visakhapatanam,2007,1.8907692
Andhra Pradesh,Visakhapatanam,2008,4.5816669
Andhra Pradesh,Visakhapatanam,2009,3.2414286
Andhra Pradesh,Visakhapatanam,2010,3.0466666
Andhra Pradesh,Visakhapatanam,2011,3.283077
Andhra Pradesh,Visakhapatanam,2012,0
Andhra Pradesh,Visakhapatanam,2013,8.1225004
Andhra Pradesh,Visakhapatanam,2014,-1.3170967
Andhra Pradesh,Visakhapatanam,2015,-3.0588734
Andhra Pradesh,Visakhapatanam,2016,
Andhra Pradesh,Visakhapatanam,2017,-1.240339
Andhra Pradesh,Visakhapatanam,2018,-1.1766038
Andhra Pradesh,Vizianagaram,2000,0.45466667
Andhra Pradesh,Vizianagaram,2001,
Andhra Pradesh,Vizianagaram,2002,
Andhra Pradesh,Vizianagaram,2003,
Andhra Pradesh,Vizianagaram,2004,-5.25
Andhra Pradesh,Vizianagaram,2005,4.3733335
Andhra Pradesh,Vizianagaram,2006,2.71
Andhra Pradesh,Vizianagaram,2007,3.4039998
Andhra Pradesh,Vizianagaram,2008,3.5999999
Andhra Pradesh,Vizianagaram,2009,3.8399999
Andhra Pradesh,Vizianagaram,2010,3.5266666
Andhra Pradesh,Vizianagaram,2011,2.0474999
Andhra Pradesh,Vizianagaram,2012,0
Andhra Pradesh,Vizianagaram,2013,2.6955554
Andhra Pradesh,Vizianagaram,2014,-3.0964103
Andhra Pradesh,Vizianagaram,2015,-4.0136843
Andhra Pradesh,Vizianagaram,2016,
Andhra Pradesh,Vizianagaram,2017,-3.6745
Andhra Pradesh,Vizianagaram,2018,-3.4723077
Andhra Pradesh,West Godavari,2000,3.3264999
Andhra Pradesh,West Godavari,2001,
Andhra Pradesh,West Godavari,2002,
Andhra Pradesh,West Godavari,2003,
Andhra Pradesh,West Godavari,2004,-8.1716671
Andhra Pradesh,West Godavari,2005,1.6949999
Andhra Pradesh,West Godavari,2006,1.34
Andhra Pradesh,West Godavari,2007,3.1199999
Andhra Pradesh,West Godavari,2008,2.0333333
Andhra Pradesh,West Godavari,2009,2.8
Andhra Pradesh,West Godavari,2010,4.0466666
Andhra Pradesh,West Godavari,2011,5.0559998
Andhra Pradesh,West Godavari,2012,0
Andhra Pradesh,West Godavari,2013,3.9323077
Andhra Pradesh,West Godavari,2014,-4.7439022
Andhra Pradesh,West Godavari,2015,-1.9254546
Andhra Pradesh,West Godavari,2016,
Andhra Pradesh,West Godavari,2017,-6.184
Andhra Pradesh,West Godavari,2018,-6.8364286
Andhra Pradesh,Y.S.R.,2000,10.189
Andhra Pradesh,Y.S.R.,2001,
Andhra Pradesh,Y.S.R.,2002,
Andhra Pradesh,Y.S.R.,2003,
Andhra Pradesh,Y.S.R.,2004,18.685001
Andhra Pradesh,Y.S.R.,2005,7.6400003
Andhra Pradesh,Y.S.R.,2006,4.8854547
Andhra Pradesh,Y.S.R.,2007,3.9949999
Andhra Pradesh,Y.S.R.,2008,6.4822221
Andhra Pradesh,Y.S.R.,2009,6.5109091
Andhra Pradesh,Y.S.R.,2010,5.25
Andhra Pradesh,Y.S.R.,2011,6.8711109
Andhra Pradesh,Y.S.R.,2012,0
Andhra Pradesh,Y.S.R.,2013,7.2633333
Andhra Pradesh,Y.S.R.,2014,-1.2218181
Andhra Pradesh,Y.S.R.,2015,1.0892309
Andhra Pradesh,Y.S.R.,2016,
Andhra Pradesh,Y.S.R.,2017,-1.273
Andhra Pradesh,Y.S.R.,2018,-6.3345456
Arunachal Pradesh,Changlang,2000,
Arunachal Pradesh,Changlang,2001,
Arunachal Pradesh,Changlang,2002,
Arunachal Pradesh,Changlang,2003,
Arunachal Pradesh,Changlang,2004,
Arunachal Pradesh,Changlang,2005,
Arunachal Pradesh,Changlang,2006,
Arunachal Pradesh,Changlang,2007,0.02
Arunachal Pradesh,Changlang,2008,
Arunachal Pradesh,Changlang,2009,
Arunachal Pradesh,Changlang,2010,0.36000001
Arunachal Pradesh,Changlang,2011,
Arunachal Pradesh,Changlang,2012,
Arunachal Pradesh,Changlang,2013,0.36000001
Arunachal Pradesh,Changlang,2014,
Arunachal Pradesh,Changlang,2015,-1.64
Arunachal Pradesh,Changlang,2016,0
Arunachal Pradesh,Changlang,2017,
Arunachal Pradesh,Changlang,2018,-2.3303585
Arunachal Pradesh,East Siang,2000,
Arunachal Pradesh,East Siang,2001,
Arunachal Pradesh,East Siang,2002,
Arunachal Pradesh,East Siang,2003,
Arunachal Pradesh,East Siang,2004,
Arunachal Pradesh,East Siang,2005,
Arunachal Pradesh,East Siang,2006,0
Arunachal Pradesh,East Siang,2007,
Arunachal Pradesh,East Siang,2008,
Arunachal Pradesh,East Siang,2009,
Arunachal Pradesh,East Siang,2010,
Arunachal Pradesh,East Siang,2011,
Arunachal Pradesh,East Siang,2012,
Arunachal Pradesh,East Siang,2013,
Arunachal Pradesh,East Siang,2014,-1.3466667
Arunachal Pradesh,East Siang,2015,-0.67333335
Arunachal Pradesh,East Siang,2016,0
Arunachal Pradesh,East Siang,2017,
Arunachal Pradesh,East Siang,2018,-1.368235
Arunachal Pradesh,Lohit,2000,
Arunachal Pradesh,Lohit,2001,
Arunachal Pradesh,Lohit,2002,
Arunachal Pradesh,Lohit,2003,
Arunachal Pradesh,Lohit,2004,
Arunachal Pradesh,Lohit,2005,0.14
Arunachal Pradesh,Lohit,2006,0.40000001
Arunachal Pradesh,Lohit,2007,
Arunachal Pradesh,Lohit,2008,
Arunachal Pradesh,Lohit,2009,9.7399998
Arunachal Pradesh,Lohit,2010,
Arunachal Pradesh,Lohit,2011,
Arunachal Pradesh,Lohit,2012,
Arunachal Pradesh,Lohit,2013,0.2
Arunachal Pradesh,Lohit,2014,
Arunachal Pradesh,Lohit,2015,-0.68000001
Arunachal Pradesh,Lohit,2016,0
Arunachal Pradesh,Lohit,2017,
Arunachal Pradesh,Lohit,2018,-0.28631732
Arunachal Pradesh,Lower Subansiri,2000,
Arunachal Pradesh,Lower Subansiri,2001,
Arunachal Pradesh,Lower Subansiri,2002,
Arunachal Pradesh,Lower Subansiri,2003,
Arunachal Pradesh,Lower Subansiri,2004,
Arunachal Pradesh,Lower Subansiri,2005,
Arunachal Pradesh,Lower Subansiri,2006,
Arunachal Pradesh,Lower Subansiri,2007,
Arunachal Pradesh,Lower Subansiri,2008,
Arunachal Pradesh,Lower Subansiri,2009,
Arunachal Pradesh,Lower Subansiri,2010,
Arunachal Pradesh,Lower Subansiri,2011,
Arunachal Pradesh,Lower Subansiri,2012,
Arunachal Pradesh,Lower Subansiri,2013,
Arunachal Pradesh,Lower Subansiri,2014,
Arunachal Pradesh,Lower Subansiri,2015,
Arunachal Pradesh,Lower Subansiri,2016,0
Arunachal Pradesh,Lower Subansiri,2017,
Arunachal Pradesh,Lower Subansiri,2018,
Arunachal Pradesh,Papum Pare,2000,
Arunachal Pradesh,Papum Pare,2001,
Arunachal Pradesh,Papum Pare,2002,
Arunachal Pradesh,Papum Pare,2003,
Arunachal Pradesh,Papum Pare,2004,
Arunachal Pradesh,Papum Pare,2005,
Arunachal Pradesh,Papum Pare,2006,0.02
Arunachal Pradesh,Papum Pare,2007,
Arunachal Pradesh,Papum Pare,2008,0.68000001
Arunachal Pradesh,Papum Pare,2009,
Arunachal Pradesh,Papum Pare,2010,
Arunachal Pradesh,Papum Pare,2011,
Arunachal Pradesh,Papum Pare,2012,
Arunachal Pradesh,Papum Pare,2013,
Arunachal Pradesh,Papum Pare,2014,0.22
Arunachal Pradesh,Papum Pare,2015,0.13333334
Arunachal Pradesh,Papum Pare,2016,0
Arunachal Pradesh,Papum Pare,2017,-0.22334133
Arunachal Pradesh,Papum Pare,2018,-0.83749801
Arunachal Pradesh,Tirap,2000,
Arunachal Pradesh,Tirap,2001,
Arunachal Pradesh,Tirap,2002,
Arunachal Pradesh,Tirap,2003,
Arunachal Pradesh,Tirap,2004,
Arunachal Pradesh,Tirap,2005,0.02
Arunachal Pradesh,Tirap,2006,
Arunachal Pradesh,Tirap,2007,0.23999999
Arunachal Pradesh,Tirap,2008,
Arunachal Pradesh,Tirap,2009,
Arunachal Pradesh,Tirap,2010,0.28
Arunachal Pradesh,Tirap,2011,
Arunachal Pradesh,Tirap,2012,
Arunachal Pradesh,Tirap,2013,0.37
Arunachal Pradesh,Tirap,2014,
Arunachal Pradesh,Tirap,2015,-1.16
Arunachal Pradesh,Tirap,2016,0
Arunachal Pradesh,Tirap,2017,-0.21333334
Arunachal Pradesh,Tirap,2018,-0.93230009
Assam,Baksa,2000,
Assam,Baksa,2001,
Assam,Baksa,2002,
Assam,Baksa,2003,
Assam,Baksa,2004,
Assam,Baksa,2005,0.20666666
Assam,Baksa,2006,0.31
Assam,Baksa,2007,0.83999997
Assam,Baksa,2008,
Assam,Baksa,2009,
Assam,Baksa,2010,
Assam,Baksa,2011,
Assam,Baksa,2012,
Assam,Baksa,2013,
Assam,Baksa,2014,0.78000003
Assam,Baksa,2015,-0.69999999
Assam,Baksa,2016,0
Assam,Baksa,2017,
Assam,Baksa,2018,0.41667295
Assam,Barpeta,2000,
Assam,Barpeta,2001,
Assam,Barpeta,2002,
Assam,Barpeta,2003,
Assam,Barpeta,2004,
Assam,Barpeta,2005,0.72999996
Assam,Barpeta,2006,1.02
Assam,Barpeta,2007,0.22
Assam,Barpeta,2008,
Assam,Barpeta,2009,
Assam,Barpeta,2010,
Assam,Barpeta,2011,2.5
Assam,Barpeta,2012,2.6800001
Assam,Barpeta,2013,
Assam,Barpeta,2014,-0.18000001
Assam,Barpeta,2015,0.43333331
Assam,Barpeta,2016,0
Assam,Barpeta,2017,
Assam,Barpeta,2018,-0.045366213
Assam,Bongaigaon,2000,
Assam,Bongaigaon,2001,
Assam,Bongaigaon,2002,
Assam,Bongaigaon,2003,
Assam,Bongaigaon,2004,
Assam,Bongaigaon,2005,0.2
Assam,Bongaigaon,2006,0.73000002
Assam,Bongaigaon,2007,0.89199996
Assam,Bongaigaon,2008,
Assam,Bongaigaon,2009,
Assam,Bongaigaon,2010,0.20999999
Assam,Bongaigaon,2011,
Assam,Bongaigaon,2012,0.84000003
Assam,Bongaigaon,2013,0.1
Assam,Bongaigaon,2014,0.004999997
Assam,Bongaigaon,2015,0.56
Assam,Bongaigaon,2016,0
Assam,Bongaigaon,2017,
Assam,Bongaigaon,2018,-0.29064253
Assam,Cachar,2000,
Assam,Cachar,2001,
Assam,Cachar,2002,
Assam,Cachar,2003,
Assam,Cachar,2004,
Assam,Cachar,2005,
Assam,Cachar,2006,0
Assam,Cachar,2007,
Assam,Cachar,2008,
Assam,Cachar,2009,
Assam,Cachar,2010,
Assam,Cachar,2011,1.42
Assam,Cachar,2012,
Assam,Cachar,2013,
Assam,Cachar,2014,-2.266
Assam,Cachar,2015,-1.015
Assam,Cachar,2016,0
Assam,Cachar,2017,0.16571428
Assam,Cachar,2018,-2.0748661
Assam,Chirang,2000,
Assam,Chirang,2001,
Assam,Chirang,2002,
Assam,Chirang,2003,
Assam,Chirang,2004,
Assam,Chirang,2005,
Assam,Chirang,2006,0.54666668
Assam,Chirang,2007,
Assam,Chirang,2008,
Assam,Chirang,2009,
Assam,Chirang,2010,
Assam,Chirang,2011,
Assam,Chirang,2012,
Assam,Chirang,2013,
Assam,Chirang,2014,
Assam,Chirang,2015,-1.1666666
Assam,Chirang,2016,0
Assam,Chirang,2017,
Assam,Chirang,2018,
Assam,Darrang,2000,
Assam,Darrang,2001,
Assam,Darrang,2002,
Assam,Darrang,2003,
Assam,Darrang,2004,
Assam,Darrang,2005,2.79
Assam,Darrang,2006,0.95500004
Assam,Darrang,2007,1.5650001
Assam,Darrang,2008,0.69000006
Assam,Darrang,2009,
Assam,Darrang,2010,
Assam,Darrang,2011,
Assam,Darrang,2012,2.22
Assam,Darrang,2013,
Assam,Darrang,2014,0.12500001
Assam,Darrang,2015,0.71333331
Assam,Darrang,2016,0
Assam,Darrang,2017,
Assam,Darrang,2018,-0.71757138
Assam,Dhemaji,2000,
Assam,Dhemaji,2001,
Assam,Dhemaji,2002,
Assam,Dhemaji,2003,
Assam,Dhemaji,2004,
Assam,Dhemaji,2005,0.33333334
Assam,Dhemaji,2006,0.61500001
Assam,Dhemaji,2007,2.9400001
Assam,Dhemaji,2008,1.1799999
Assam,Dhemaji,2009,0.62
Assam,Dhemaji,2010,0.28
Assam,Dhemaji,2011,
Assam,Dhemaji,2012,
Assam,Dhemaji,2013,0.28
Assam,Dhemaji,2014,-2.2175
Assam,Dhemaji,2015,-0.3475
Assam,Dhemaji,2016,0
Assam,Dhemaji,2017,7.6199999
Assam,Dhemaji,2018,0
Assam,Dhubri,2000,
Assam,Dhubri,2001,
Assam,Dhubri,2002,
Assam,Dhubri,2003,
Assam,Dhubri,2004,
Assam,Dhubri,2005,0.29333332
Assam,Dhubri,2006,0.47365472
Assam,Dhubri,2007,0.824
Assam,Dhubri,2008,
Assam,Dhubri,2009,
Assam,Dhubri,2010,0.45000002
Assam,Dhubri,2011,
Assam,Dhubri,2012,
Assam,Dhubri,2013,0.43000001
Assam,Dhubri,2014,1.3199999
Assam,Dhubri,2015,0.19500001
Assam,Dhubri,2016,0
Assam,Dhubri,2017,
Assam,Dhubri,2018,-0.19265012
Assam,Dibrugarh,2000,
Assam,Dibrugarh,2001,
Assam,Dibrugarh,2002,
Assam,Dibrugarh,2003,
Assam,Dibrugarh,2004,
Assam,Dibrugarh,2005,0.33200002
Assam,Dibrugarh,2006,
Assam,Dibrugarh,2007,0.47999999
Assam,Dibrugarh,2008,0.31
Assam,Dibrugarh,2009,
Assam,Dibrugarh,2010,0.80000001
Assam,Dibrugarh,2011,
Assam,Dibrugarh,2012,0.9666667
Assam,Dibrugarh,2013,0.99199998
Assam,Dibrugarh,2014,-0.36666667
Assam,Dibrugarh,2015,
Assam,Dibrugarh,2016,0
Assam,Dibrugarh,2017,-1.03
Assam,Dibrugarh,2018,-3.0367022
Assam,Goalpara,2000,
Assam,Goalpara,2001,
Assam,Goalpara,2002,
Assam,Goalpara,2003,
Assam,Goalpara,2004,
Assam,Goalpara,2005,0.07333333
Assam,Goalpara,2006,0.12
Assam,Goalpara,2007,1.8666667
Assam,Goalpara,2008,2.3199999
Assam,Goalpara,2009,4.6599998
Assam,Goalpara,2010,
Assam,Goalpara,2011,
Assam,Goalpara,2012,
Assam,Goalpara,2013,
Assam,Goalpara,2014,-1.1314286
Assam,Goalpara,2015,0.41999999
Assam,Goalpara,2016,0
Assam,Goalpara,2017,
Assam,Goalpara,2018,-0.46822402
Assam,Golaghat,2000,
Assam,Golaghat,2001,
Assam,Golaghat,2002,
Assam,Golaghat,2003,
Assam,Golaghat,2004,
Assam,Golaghat,2005,0.21000001
Assam,Golaghat,2006,8.6199999
Assam,Golaghat,2007,0.059999999
Assam,Golaghat,2008,0.23999999
Assam,Golaghat,2009,
Assam,Golaghat,2010,
Assam,Golaghat,2011,2.6800001
Assam,Golaghat,2012,2.78
Assam,Golaghat,2013,0.75999999
Assam,Golaghat,2014,-1.8
Assam,Golaghat,2015,1.332
Assam,Golaghat,2016,0
Assam,Golaghat,2017,
Assam,Golaghat,2018,-2.5904965
Assam,Hailakandi,2000,
Assam,Hailakandi,2001,
Assam,Hailakandi,2002,
Assam,Hailakandi,2003,
Assam,Hailakandi,2004,
Assam,Hailakandi,2005,
Assam,Hailakandi,2006,
Assam,Hailakandi,2007,1.14
Assam,Hailakandi,2008,
Assam,Hailakandi,2009,
Assam,Hailakandi,2010,
Assam,Hailakandi,2011,
Assam,Hailakandi,2012,
Assam,Hailakandi,2013,
Assam,Hailakandi,2014,
Assam,Hailakandi,2015,-0.54000002
Assam,Hailakandi,2016,0
Assam,Hailakandi,2017,1.2966666
Assam,Hailakandi,2018,-1.4559274
Assam,Jorhat,2000,
Assam,Jorhat,2001,
Assam,Jorhat,2002,
Assam,Jorhat,2003,
Assam,Jorhat,2004,
Assam,Jorhat,2005,
Assam,Jorhat,2006,0.60000002
Assam,Jorhat,2007,0.12
Assam,Jorhat,2008,
Assam,Jorhat,2009,
Assam,Jorhat,2010,
Assam,Jorhat,2011,
Assam,Jorhat,2012,
Assam,Jorhat,2013,
Assam,Jorhat,2014,1.1899999
Assam,Jorhat,2015,1.24
Assam,Jorhat,2016,0
Assam,Jorhat,2017,
Assam,Jorhat,2018,-2.5229695
Assam,Kamrup Metropolitan,2000,
Assam,Kamrup Metropolitan,2001,
Assam,Kamrup Metropolitan,2002,
Assam,Kamrup Metropolitan,2003,
Assam,Kamrup Metropolitan,2004,
Assam,Kamrup Metropolitan,2005,0.40000001
Assam,Kamrup Metropolitan,2006,0.039999999
Assam,Kamrup Metropolitan,2007,0.18000001
Assam,Kamrup Metropolitan,2008,0.75999999
Assam,Kamrup Metropolitan,2009,
Assam,Kamrup Metropolitan,2010,0.51999998
Assam,Kamrup Metropolitan,2011,
Assam,Kamrup Metropolitan,2012,
